"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"151","SRPK1",0.000694,0.582380759479711,"YES","NO","NO"
"152","PPP4R4",0.122,0.584796555050009,"NO","NO","NO"
"153","SLC17A6",0.122,0.587180771593245,"NO","NO","NO"
"154","ZMYND11",0.000802,0.589541494829269,"YES","NO","NO"
"155","LMBR1L",0.000812,0.591873138051024,"YES","NO","NO"
"156","KCNN3",0.000908,0.59418706765876,"YES","NO","NO"
"157","SLITRK5",0.000917,0.59647257208312,"YES","NO","NO"
"158","SLC25A43",0.000932,0.598730859351334,"YES","NO","NO"
"159","LEKR1",0.823,0.60096751049033,"NO","NO","NO"
"160","ABHD13",0.00106,0.60318264632539,"YES","NO","NO"
"161","ZFC3H1",0.00107,0.605371202905945,"YES","NO","NO"
"162","ABCA6",0.145,0.607533615318366,"NO","NO","NO"
"163","HERPUD2",0.00108,0.609669540977014,"YES","NO","NO"
"164","PUM2",0.00114,0.611784664223534,"YES","NO","NO"
"165","WNK2",0.151,0.613877204011502,"NO","NO","NO"
"166","ITGA9",0.153,0.615947184676733,"NO","NO","NO"
"167","PRRT2",0.154,0.617993675126911,"NO","NO","NO"
"168","ACSS1",0.159,0.620022090111035,"NO","NO","NO"
"169","HSDL2",0.161,0.622028922884118,"NO","NO","NO"
"170","IPMK",0.00136,0.624012713435457,"YES","NO","NO"
"171","TINAG",0.847,0.625974092533514,"NO","NO","NO"
"172","OTUD4",0.00148,0.627919206056989,"YES","NO","NO"
"173","ADNP",0.00149,0.629842405772569,"YES","NO","NO"
"174","CSPG5",0.0015,0.631744064666178,"YES","NO","NO"
"175","CRB1",0.00152,0.63362509955642,"YES","NO","NO"
"176","ATP1A2",0.00153,0.635485303624763,"YES","NO","NO"
"177","HMGB2",0.00155,0.637325558055247,"YES","NO","NO"
"178","PROM1",0.0016,0.639147719818725,"YES","NO","NO"
"179","TEFM",0.00171,0.640954832628869,"YES","NO","NO"
"180","OMG",0.00177,0.642744567744821,"YES","NO","NO"
"181","DHX57",0.865,0.644514751825382,"NO","NO","NO"
"182","TNRC6A",0.187,0.646269700093499,"NO","NO","NO"
"183","SYT1",0.188,0.648006360648464,"NO","NO","NO"
"184","CNOT4",0.00192,0.649724999563026,"YES","NO","NO"
"185","NRXN1",0.00194,0.651425826037205,"YES","NO","NO"
"186","TSC22D1",0.00201,0.653110958438024,"YES","NO","NO"
"187","CHAF1B",0.00206,0.654779841883014,"YES","NO","NO"
"188","CLPTM1",0.00211,0.656432681681345,"YES","NO","NO"
"189","POLRMT",0.00212,0.658068365197244,"YES","NO","NO"
"190","LZIC",0.00214,0.659687489662619,"YES","NO","NO"
"191","ETV1",0.2,0.661290931146966,"NO","NO","NO"
"192","DCTN5",0.00219,0.662878001469671,"YES","NO","NO"
"193","PSMA3",0.00224,0.664450167337745,"YES","NO","NO"
"194","GAL3ST2",0.00226,0.666006726635462,"YES","NO","NO"
"195","SMG7",0.00235,0.667549931632871,"YES","NO","NO"
"196","MYCBP2",0.207,0.669077536504556,"NO","NO","NO"
"197","NAMPT",0.00236,0.670589765828181,"YES","NO","NO"
"198","SPOCD1",0.214,0.672091472084454,"NO","NO","NO"
"199","ARHGEF11",0.215,0.673578761270102,"NO","NO","NO"
"200","ATF2",0.00267,0.675053651757314,"YES","NO","NO"
"201","QRICH1",0.00268,0.676514099051543,"YES","NO","NO"
"202","FBXO16",0.0027,0.677960545524376,"YES","NO","NO"
"203","CHD5",0.00277,0.679394306372872,"YES","NO","NO"
"204","RBM4",0.00291,0.680816978561932,"YES","NO","NO"
"205","ASIC2",0.229,0.682226910850954,"NO","NO","NO"
"206","C16orf87",0.003,0.683623814893035,"YES","NO","NO"
"207","PSMD11",0.00304,0.685007994014682,"YES","NO","NO"
"208","OPA1",0.232,0.686379187446965,"NO","NO","NO"
"209","SATB1",0.00306,0.68773731455644,"YES","NO","NO"
"210","WDTC1",0.00309,0.689083064504134,"YES","NO","NO"
"211","TACC1",0.0031,0.690416241897327,"YES","NO","NO"
"212","AP3D1",0.00313,0.691737385125055,"YES","NO","NO"
"213","CRNKL1",0.901,0.693046543237671,"NO","NO","NO"
"214","CSTL1",0.00321,0.694344450624296,"YES","NO","NO"
"215","CAMTA1",0.00327,0.695631302182323,"YES","NO","NO"
"216","BMPER",0.242,0.696907910395399,"NO","NO","NO"
"217","EPHB2",0.00341,0.698173350846559,"YES","NO","NO"
"218","COL24A1",0.00341,0.699427181752296,"YES","NO","NO"
"219","PPRC1",0.0035,0.700670941306062,"YES","NO","NO"
"220","KIF3C",0.00352,0.701903692837658,"YES","NO","NO"
"221","SLC9A7",0.248,0.703126042113059,"NO","NO","NO"
"222","PIK3R4",0.00367,0.704338782791079,"YES","NO","NO"
"223","PTK2",0.00374,0.7055416090436,"YES","NO","NO"
"224","ARHGEF4",0.00376,0.706733965189541,"YES","NO","NO"
"225","NELFCD",0.00383,0.707916646980361,"YES","NO","NO"
"226","PAX4",0.00385,0.709089121492312,"YES","NO","NO"
"227","KLHL32",0.258,0.710252160351866,"NO","NO","NO"
"228","NRG4",0.258,0.71140499711616,"NO","NO","NO"
"229","ARHGAP12",0.0041,0.712549934219257,"YES","NO","NO"
"230","NOL6",0.00418,0.713685838291253,"YES","NO","NO"
"231","CYP11B1",0.00422,0.714812358630612,"YES","NO","NO"
"232","RNFT1",0.00423,0.7159292789705,"YES","NO","NO"
"233","HECTD4",0.267,0.717036874526185,"NO","NO","NO"
"234","AXL",0.00442,0.718136777778884,"YES","NO","NO"
"235","KHDRBS2",0.00444,0.719227526912687,"YES","NO","NO"
"236","OPRM1",0.272,0.720309104971722,"NO","NO","NO"
"237","DNAJC2",0.00446,0.721381687348862,"YES","NO","NO"
"238","ATP2B1",0.00448,0.722445458204332,"YES","NO","NO"
"239","POLK",0.273,0.723500391687685,"NO","NO","NO"
"240","LRP5",0.00451,0.724546767819009,"YES","NO","NO"
"241","ZNFX1",0.00452,0.725584558670067,"YES","NO","NO"
"242","RAC3",0.00461,0.726614641604606,"YES","NO","NO"
"243","DLAT",0.00465,0.727636624021898,"YES","NO","NO"
"244","PSMG3",0.0047,0.72865069362243,"YES","NO","NO"
"245","SLC31A1",0.00472,0.729656668188202,"YES","NO","NO"
"246","AKT1",0.00485,0.730655625219522,"YES","NO","NO"
"247","SLC25A40",0.924,0.731646518815492,"NO","NO","NO"
"248","NFIC",0.00488,0.732629656224044,"YES","NO","NO"
"249","RANBP9",0.00492,0.733605239100568,"YES","NO","NO"
"250","C17orf58",0.00494,0.734573186352155,"YES","NO","NO"
"251","GIPC2",0.286,0.735534087857031,"NO","NO","NO"
"252","TAF15",0.00508,0.736487848371784,"YES","NO","NO"
"253","AARS2",0.00511,0.73743430927473,"YES","NO","NO"
"254","LIN7A",0.00513,0.738373476080345,"YES","NO","NO"
"255","KCNV1",0.00516,0.739305511964309,"YES","NO","NO"
"256","LHFPL4",0.927,0.740230275991971,"NO","NO","NO"
"257","MLLT1",0.00518,0.741147988301308,"YES","NO","NO"
"258","TBKBP1",0.00519,0.742058663233637,"YES","NO","NO"
"259","SMAD9",0.0053,0.74296313355267,"YES","NO","NO"
"260","FBXO34",0.00535,0.743861013785667,"YES","NO","NO"
"261","SMARCAD1",0.00549,0.744753015043332,"YES","NO","NO"
"262","IL37",0.298,0.745638630263311,"NO","NO","NO"
"263","NPSR1",0.00556,0.746517573737485,"YES","NO","NO"
"264","UBXN7",0.00565,0.74739046753444,"YES","NO","NO"
"265","KCNH2",0.301,0.748257034873718,"NO","NO","NO"
"266","SNX9",0.00569,0.74911709081979,"YES","NO","NO"
"267","AMER3",0.00573,0.749970965577204,"YES","NO","NO"
